wiki_title,wiki_pageid,wiki_url,wiki_state,wiki_level,wiki_wikidata_qid,wiki_nces_id,match_method,match_score,nces_school_id,nces_school_name,nces_sector,nces_state,nces_city,nces_low_grade,nces_high_grade
East Longmeadow High School,23220046,https://en.wikipedia.org/wiki/East_Longmeadow_High_School,Massachusetts,high,Q5328874,250450000603,nces_id,100.0,250450000603,East Longmeadow High,public,MA,east longmeadow,09,12
Easthampton High School,67972569,https://en.wikipedia.org/wiki/Easthampton_High_School,Massachusetts,high,Q96903962,,fuzzy,100.0,250459000612,Easthampton High,public,MA,easthampton,09,12
Edgartown School,4184516,https://en.wikipedia.org/wiki/Edgartown_School,Massachusetts,,Q5337609,,fuzzy,100.0,250909001469,Edgartown Elementary,public,MA,edgartown,PK,08
Edward M. Kennedy Academy for Health Careers,11242160,https://en.wikipedia.org/wiki/Edward_M._Kennedy_Academy_for_Health_Careers,Massachusetts,high,Q5344270,250005401258,nces_id,100.0,250005401258,Edward M. Kennedy Academy for Health Careers (Horace Mann,public,MA,boston,09,12
Eliot K-8 Innovation School,82474651,https://en.wikipedia.org/wiki/Eliot_K-8_Innovation_School,Massachusetts,middle,Q140026611,,name_state,100.0,250279000230,Eliot K-8 Innovation School,public,MA,boston,PK,08
English High School (1892 building),52896924,https://en.wikipedia.org/wiki/English_High_School_(1892_building),Massachusetts,high,Q28453548,,name_state,100.0,250279000327,English High School,public,MA,jamaica plain,07,12
"English High School (Worcester, Massachusetts)",21854995,"https://en.wikipedia.org/wiki/English_High_School_(Worcester,_Massachusetts)",Massachusetts,high,Q5378284,,name_state,100.0,250279000327,English High School,public,MA,jamaica plain,07,12
Essex North Shore Agricultural and Technical High School,18936597,https://en.wikipedia.org/wiki/Essex_North_Shore_Agricultural_and_Technical_High_School,Massachusetts,high,Q14715462,,fuzzy,100.0,250055402833,Essex North Shore Agricultural and Technical School,public,MA,hathorne,09,12
Essex Technical High School,51426198,https://en.wikipedia.org/wiki/Essex_Technical_High_School,Massachusetts,high,Q28129541,250055402833,nces_id,100.0,250055402833,Essex North Shore Agricultural and Technical School,public,MA,hathorne,09,12
Everett High School (Massachusetts),22191770,https://en.wikipedia.org/wiki/Everett_High_School_(Massachusetts),Massachusetts,high,Q5417018,250477000634,nces_id,100.0,250477000634,Everett High,public,MA,everett,09,12
Fairhaven High School and Academy,18540354,https://en.wikipedia.org/wiki/Fairhaven_High_School_and_Academy,Massachusetts,high,Q5430466,250480000642,nces_id,100.0,250480000642,Fairhaven High,public,MA,fairhaven,09,12
Falmouth Academy,3846485,https://en.wikipedia.org/wiki/Falmouth_Academy,Massachusetts,high,Q5432579,,name_state,100.0,01651798,FALMOUTH ACADEMY,private,MA,falmouth,12,17
Falmouth High School (Massachusetts),16204156,https://en.wikipedia.org/wiki/Falmouth_High_School_(Massachusetts),Massachusetts,high,Q5432590,250486000686,nces_id,100.0,250486000686,Falmouth High,public,MA,falmouth,09,12
Fay School,13723006,https://en.wikipedia.org/wiki/Fay_School,Massachusetts,middle,Q5438936,,name_state,100.0,00604002,FAY SCHOOL,private,MA,southborough,3,14
Fitchburg High School,62170052,https://en.wikipedia.org/wiki/Fitchburg_High_School,Massachusetts,high,Q85761132,,fuzzy,100.0,250489000697,Fitchburg High,public,MA,fitchburg,09,12
Florida Ruffin Ridley School,4609778,https://en.wikipedia.org/wiki/Florida_Ruffin_Ridley_School,Massachusetts,middle,Q106797813,,name_state,100.0,250315000417,Florida Ruffin Ridley School,public,MA,brookline,PK,08
Fontbonne Academy,4537807,https://en.wikipedia.org/wiki/Fontbonne_Academy,Massachusetts,high,Q5465151,,name_state,100.0,00600664,FONTBONNE ACADEMY,private,MA,milton,12,17
Foxborough High School,82973391,https://en.wikipedia.org/wiki/Foxborough_High_School,Massachusetts,high,Q139760226,,fuzzy,100.0,250495000708,Foxborough High,public,MA,foxborough,09,12
Foxborough Regional Charter School,35437341,https://en.wikipedia.org/wiki/Foxborough_Regional_Charter_School,Massachusetts,high,Q5477089,250005201250,nces_id,100.0,250005201250,Foxborough Regional Charter School,public,MA,foxborough,KG,12
Framingham High School,1525155,https://en.wikipedia.org/wiki/Framingham_High_School,Massachusetts,high,Q5478012,250498002573,nces_id,100.0,250498002573,Framingham High School,public,MA,framingham,09,12
Francis W. Parker Charter Essential School,5207653,https://en.wikipedia.org/wiki/Francis_W._Parker_Charter_Essential_School,Massachusetts,high,Q5482675,250003800581,nces_id,100.0,250003800581,Francis W. Parker Charter Essential School,public,MA,devens,07,12
Franklin High School (Massachusetts),5645681,https://en.wikipedia.org/wiki/Franklin_High_School_(Massachusetts),Massachusetts,high,Q5491551,250501000737,nces_id,100.0,250501000737,Franklin High,public,MA,franklin,09,12
Friends Academy (Massachusetts),30860495,https://en.wikipedia.org/wiki/Friends_Academy_(Massachusetts),Massachusetts,middle,Q5504153,,name_state,100.0,00604217,FRIENDS ACADEMY,private,MA,north dartmouth,2,13
Frontier Regional School,22440677,https://en.wikipedia.org/wiki/Frontier_Regional_School,Massachusetts,high,Q5506034,250510000749,nces_id,100.0,250510000749,Frontier Regional,public,MA,south deerfield,07,12
Gardner High School,15555646,https://en.wikipedia.org/wiki/Gardner_High_School,Massachusetts,high,Q5522600,250513000751,nces_id,100.0,250513000751,Gardner High,public,MA,gardner,08,12
Gateway Regional High School (Massachusetts),18167906,https://en.wikipedia.org/wiki/Gateway_Regional_High_School_(Massachusetts),Massachusetts,high,Q5527280,250516000758,nces_id,100.0,250516000758,Gateway Regional School,public,MA,huntington,06,12
George R. Martin Elementary School,17147091,https://en.wikipedia.org/wiki/George_R._Martin_Elementary_School,Massachusetts,elementary,Q5543651,251059001695,nces_id,100.0,251059001695,George R Martin,public,MA,seekonk,KG,05
Georgetown High School (Massachusetts),34468132,https://en.wikipedia.org/wiki/Georgetown_High_School_(Massachusetts),Massachusetts,high,Q5546993,250522000764,nces_id,100.0,250522000764,Georgetown High School,public,MA,georgetown,09,12
German International School Boston,45088523,https://en.wikipedia.org/wiki/German_International_School_Boston,Massachusetts,high,Q1203923,,name_state,100.0,A0501907,GERMAN INTERNATIONAL SCHOOL BOSTON,private,MA,boston,2,17
Gifford School,14751228,https://en.wikipedia.org/wiki/Gifford_School,Massachusetts,,Q5559942,,name_state,100.0,A2102059,GIFFORD SCHOOL,private,MA,weston,9,17
Glen Urquhart School,25857782,https://en.wikipedia.org/wiki/Glen_Urquhart_School,Massachusetts,middle,Q5568078,,name_state,100.0,02033828,GLEN URQUHART SCHOOL,private,MA,beverly,2,13
Gloucester High School (Massachusetts),18037313,https://en.wikipedia.org/wiki/Gloucester_High_School_(Massachusetts),Massachusetts,high,Q5572059,250528000774,nces_id,100.0,250528000774,Gloucester High,public,MA,gloucester,09,12
Glover School,4098504,https://en.wikipedia.org/wiki/Glover_School,Massachusetts,elementary,Q5572178,,fuzzy,100.0,250726001121,Glover,public,MA,marblehead,PK,03
