school_id,lat,lon,county_fips,match
00939196,40.761972385852,-73.81247182558,36081,Match
01059869,39.93963349348,-81.997769942023,39119,Match
A9903225,40.58013459746,-73.953429514711,36047,Match
A1702806,35.581026498948,-78.355507948407,37101,Match
00862653,40.730801420247,-74.057368943921,34017,Match
A1502731,35.774162008858,-78.719625058746,37183,Match
A1702801,35.637995448727,-80.4532160449,37159,Match
A1171205,40.873258881057,-74.187543551036,34031,Match
A9903229,40.750738810012,-73.820931720786,36081,Match
A0509133,40.643085784341,-73.986051965274,36047,Match
A1502732,34.906512018896,-77.561119515956,37133,Match
00919136,41.507977532501,-74.012517963831,36071,Match
A2102479,40.580620492456,-74.220507496727,34023,Match
A0502501,,,,No_Match
A2192351,40.083338948678,-83.149595817071,39049,Match
A0302447,39.805208875918,-84.019669548779,39057,Match
K9303825,40.59982504806,-74.873911125935,34019,Match
K9303820,40.496098751603,-74.369484149552,34023,Match
BB161453,40.064143387882,-74.204164143115,34029,Match
A0502508,,,,No_Match
00870278,40.856353708766,-74.658992840117,34027,Match
BB161451,40.093238201454,-74.16661534043,34029,Match
A2102474,40.948523836919,-74.069529869977,34003,Match
BB161452,40.10476046496,-74.182153977383,34029,Match
A2102473,40.978063294903,-74.119664580249,34003,Match
A2301688,43.202093131103,-77.57727782875,36055,Match
A0502504,40.719610405493,-73.982625992093,36061,Match
A2102470,,,,No_Match
A2301685,40.945120744976,-73.842991677983,36119,Match
A0502505,42.944455961206,-74.592118195339,36057,Match
00930397,40.811374901457,-73.389742999549,36103,Match
A1502736,35.184062597531,-80.761328279063,37119,Match
01011474,35.061996546851,-78.940007615631,37051,Match
BB161459,40.077151641446,-74.249617184481,34029,Match
00924951,40.732866453079,-73.883737201751,36081,Match
A1702800,36.374880871587,-80.704426562341,37171,Match
BB161457,40.061398524492,-74.229283340329,34029,Match
00944548,40.707398634381,-73.415242463366,36103,Match
A9903220,,,,No_Match
A0701603,40.792226247744,-73.946382892685,36061,Match
01013653,35.070282422662,-84.057031664851,37039,Match
01059858,39.939673329359,-81.998094614574,39119,Match
A9502739,40.072087253412,-74.217574876089,34029,Match
A0502592,40.778772171595,-73.983977858501,36061,Match
A2192348,,,,No_Match
00862664,40.832285291885,-74.270193390422,34013,Match
A0502593,,,,No_Match
A9502733,40.345747125017,-74.131753528608,34025,Match
A2102869,36.034719842757,-80.018786738076,37081,Match
A9502736,40.979577738359,-74.088927957997,34003,Match
K9303818,40.45421962311,-74.41860771319,34023,Match
A2102864,35.816745789998,-78.327882129916,37183,Match
A1902909,40.66711623186,-74.233912456657,34039,Match
A2102867,35.298013144471,-77.615268244575,37107,Match
01063478,41.398593633952,-81.734504190149,39035,Match
A1902903,40.102502550408,-74.208724597783,34029,Match
00925092,40.718705752413,-73.84108834789,36081,Match
A2102860,36.10911224505,-79.778341144505,37081,Match
A2102863,35.617856921327,-82.575670491688,37021,Match
A0740086,40.090169999883,-74.211535165068,34029,Match
K9303812,40.59677612535,-74.60939881675,34035,Match
00851404,43.532807297502,-71.462195710663,33001,Match
00931776,42.537814619285,-75.526342823744,36017,Match
A9103922,35.856596316561,-78.631423797494,37183,Match
A1702456,40.884589494317,-74.149274152622,34031,Match
A1140014,40.111848158777,-74.234435533091,34025,Match
A1703304,46.89070543784,-102.70845902435,38089,Match
00940237,40.723981300452,-73.855412685032,36081,Match
BB963333,40.699763490767,-73.99362837726,36047,Match
00937086,40.617090060999,-73.727347133007,36059,Match
A2192336,36.06016102004,-80.389555634819,37067,Match
00863522,40.763408489799,-74.038586821725,34017,Match
02048619,41.268300696941,-73.888566974278,36119,Match
00939265,,,,No_Match
A9502744,40.03062543003,-74.9121945408,34005,Match
A9502745,40.884589494317,-74.149274152622,34031,Match
A2192333,35.523448347066,-82.990959089509,37087,Match
K9303809,40.135003127635,-74.075323074645,34025,Match
A2102859,35.901400383486,-80.000129172987,37151,Match
A9502740,40.877456943223,-74.315041318512,34013,Match
A2102854,35.068265477925,-80.84262933809,37119,Match
A1900717,36.039063945926,-115.118355414265,32003,Match
BB240244,40.60567249352,-73.740854492531,36059,Match
BB240245,40.579482598792,-73.955593155304,36047,Match
BB240243,40.721632202808,-73.983627133032,36061,Match
A1302201,,,,No_Match
A2102851,35.23897541675,-79.3032789033,37125,Match
BB240250,40.620372346761,-73.98175314393,36047,Match
A1702461,40.689604869636,-74.433247874413,34039,Match
A0902143,40.61038023126,-74.270796070664,34039,Match
00930455,40.719211849142,-73.25324274334,36103,Match
A1302206,,,,No_Match
A1702463,40.90500900397,-74.077824905429,34003,Match
A9502759,39.747470230238,-75.110922328453,34015,Match
00863533,40.841256308378,-74.202073361883,34013,Match
00939276,40.848690106809,-73.828060847906,36005,Match
01013198,35.735736049768,-77.979338441049,37195,Match
A2102847,36.478043211479,-78.3489699749,37181,Match
A0106829,40.837623295962,-74.188201659441,34013,Match
A2102849,35.215269175023,-80.777364087703,37119,Match
A2192323,42.192499582849,-73.873181498146,36039,Match
A2102848,35.600496416144,-77.593070718077,37147,Match
X1933171,40.596104301986,-74.379096453706,34023,Match
A2102844,35.031564326814,-79.118504258354,37093,Match
