Title,Page ID,URL,State,City,County,Extracted State,School Type,Direct Parent Category
"Evergreen School (Evergreen, Alabama)",57845330,"https://en.wikipedia.org/wiki/Evergreen_School_(Evergreen,_Alabama)","Alabama","100 City School Dr.","Conecuh County","Alabama","public","Schools in Conecuh County"
"Excel High School (Alabama)",67714470,"https://en.wikipedia.org/wiki/Excel_High_School_(Alabama)","Alabama","","","Alabama","public","Public high schools in Alabama"
"Fairfield High Preparatory School",26368018,"https://en.wikipedia.org/wiki/Fairfield_High_Preparatory_School","Alabama","Fairfield, Alabama","","Alabama","public","Public high schools in Alabama"
"Fairhope High School",4168174,"https://en.wikipedia.org/wiki/Fairhope_High_School","Alabama","Fairhope, Alabama","","Alabama","public","Public high schools in Alabama"
"Faith Academy (Mobile, Alabama)",7689199,"https://en.wikipedia.org/wiki/Faith_Academy_(Mobile,_Alabama)","Alabama","Mobile, Alabama","","Alabama","private","Private K–12 schools in Alabama"
"Foley High School",23407071,"https://en.wikipedia.org/wiki/Foley_High_School","Alabama","Foley, Alabama","","Alabama","public","Public high schools in Alabama"
"Fruitdale High School",20446886,"https://en.wikipedia.org/wiki/Fruitdale_High_School","Alabama","Fruitdale, Alabama","","Alabama","public","Public high schools in Alabama"
"Fultondale High School",78323221,"https://en.wikipedia.org/wiki/Fultondale_High_School","Alabama","Fultondale, Alabama","","Alabama","unknown","High schools in Birmingham, Alabama"
"Fultondale High School (2023–present)",78325015,"https://en.wikipedia.org/wiki/Fultondale_High_School_(2023%E2%80%93present)","Alabama","Birmingham","","Alabama","unknown","High schools in Birmingham, Alabama"
"Gadsden City High School",4806108,"https://en.wikipedia.org/wiki/Gadsden_City_High_School","Alabama","Gadsden, Alabama","","Alabama","public","Public high schools in Alabama"
"Gadsden High School (Alabama)",8321300,"https://en.wikipedia.org/wiki/Gadsden_High_School_(Alabama)","Alabama","","","","unknown","Alabama school stubs"
"Gardendale High School",10289675,"https://en.wikipedia.org/wiki/Gardendale_High_School","Alabama","Gardendale, Alabama","","Alabama","public","Public high schools in Alabama"
"Geneva High School (Alabama)",15037553,"https://en.wikipedia.org/wiki/Geneva_High_School_(Alabama)","Alabama","Geneva, Alabama","","Alabama","public","Public high schools in Alabama"
"George Washington Carver High School (Birmingham, Alabama)",18773602,"https://en.wikipedia.org/wiki/George_Washington_Carver_High_School_(Birmingham,_Alabama)","Alabama","Birmingham, Alabama","","Alabama","unknown","High schools in Birmingham, Alabama"
"George Washington Carver High School (Dothan, Alabama)",59573232,"https://en.wikipedia.org/wiki/George_Washington_Carver_High_School_(Dothan,_Alabama)","Alabama","Dothan, Alabama","","Alabama","public","Public high schools in Alabama"
"George Washington Carver High School (Montgomery, Alabama)",22830343,"https://en.wikipedia.org/wiki/George_Washington_Carver_High_School_(Montgomery,_Alabama)","Alabama","Montgomery, Alabama","","Alabama","unknown","High schools in Montgomery, Alabama"
"Glencoe High School (Alabama)",43397357,"https://en.wikipedia.org/wiki/Glencoe_High_School_(Alabama)","Alabama","Glencoe, Alabama","","Alabama","public","Public high schools in Alabama"
"Glenwood School (Alabama)",56297956,"https://en.wikipedia.org/wiki/Glenwood_School_(Alabama)","Alabama","<!-- or","","Alabama","private","Private K–12 schools in Alabama"
"Goodwyn Jr. High School",26692023,"https://en.wikipedia.org/wiki/Goodwyn_Jr._High_School","Alabama","Montgomery","","Alabama","unknown","Schools in Montgomery, Alabama"
"Gordo High School",23256466,"https://en.wikipedia.org/wiki/Gordo_High_School","Alabama","Gordo, Alabama","","Alabama","public","Public high schools in Alabama"
"Goshen High School (Alabama)",10043379,"https://en.wikipedia.org/wiki/Goshen_High_School_(Alabama)","Alabama","Goshen, Alabama","","Alabama","public","Public high schools in Alabama"
"Graymont School",55172319,"https://en.wikipedia.org/wiki/Graymont_School","Alabama","","Jefferson County","Alabama","public","Schools in Jefferson County, Alabama"
"Greengate School",9672794,"https://en.wikipedia.org/wiki/Greengate_School","Alabama","Huntsville, Alabama","","Alabama","unknown","Special schools in Alabama"
"Grissom High School (Alabama)",3659458,"https://en.wikipedia.org/wiki/Grissom_High_School_(Alabama)","Alabama","Huntsville, Alabama","","Alabama","unknown","High schools in Huntsville, Alabama"
"Gulf Shores High School",46250820,"https://en.wikipedia.org/wiki/Gulf_Shores_High_School","Alabama","Gulf Shores, Alabama","","Alabama","public","Public high schools in Alabama"
"Guntersville High School",69204364,"https://en.wikipedia.org/wiki/Guntersville_High_School","Alabama","Guntersville, Alabama","","Alabama","public","Public high schools in Alabama"
"Hale County High School",67697289,"https://en.wikipedia.org/wiki/Hale_County_High_School","Alabama","Moundville, Alabama","","Alabama","public","Public high schools in Alabama"
"Hamilton High School (Hamilton, Alabama)",4610095,"https://en.wikipedia.org/wiki/Hamilton_High_School_(Hamilton,_Alabama)","Alabama","Hamilton, Alabama","","Alabama","public","Public high schools in Alabama"
